model,prompt_style,n,unique_answer_count,top_10_most_common_answers,average_answer_length_words,verbose_rate,percentage_of_one_word_answers
Base LLaVA,normal,200,196,"{""United States"": 3, ""There are two bars in the graph."": 2, ""1"": 2, ""The color of the graph with 56 as the highest value is blue."": 1, ""The max value of the blue line is 70%."": 1, ""The blue line represents the percentage of foreign policy decisions made by the United States."": 1, ""In 2016, 60% of respondents said that jobs was a top priority for the president and Congress."": 1, ""The line with the lowest value of 71% is the one that starts at 2011 and ends at 2013."": 1, ""The highest value on this graph is 54."": 1, ""There are 10 data points on the disapprove line that are above 50."": 1}",15.595,0.925,0.06
Base LLaVA,short,200,105,"{""10"": 15, ""100"": 14, ""Yes"": 13, ""Usa"": 10, ""1"": 10, ""100000"": 6, ""2"": 4, ""No"": 4, ""Green"": 3, ""1000"": 3}",1.2,0.015,0.94
Original adapter q/v 1 epoch,normal,200,104,"{""100"": 20, ""No"": 17, ""1"": 13, ""United States"": 12, ""3"": 6, ""50"": 5, ""2"": 5, ""2011"": 4, ""Pink"": 3, ""ASSIST"": 3}",1.725,0.065,0.84
Original adapter q/v 1 epoch,short,200,92,"{""1"": 24, ""100"": 14, ""No"": 14, ""United States"": 7, ""50"": 6, ""0.33"": 5, ""2"": 5, ""45"": 4, ""3"": 4, ""10"": 4}",1.055,0.0,0.945
New adapter q/v 2 epochs,normal,200,113,"{""100"": 15, ""USA"": 12, ""Yes"": 11, ""10000000000000000000000000000000000000000000000"": 11, ""3"": 7, ""No"": 5, ""4"": 5, ""2010"": 4, ""Green"": 4, ""15000000000000000000000000000000000000000000000"": 3}",1.575,0.06,0.835
New adapter q/v 2 epochs,short,200,103,"{""100"": 18, ""USA"": 12, ""3"": 10, ""Yes"": 10, ""10000000000000000000000000000000000000000000000"": 10, ""No"": 5, ""1"": 5, ""100%"": 4, ""Green"": 4, ""2011"": 4}",1.18,0.02,0.925
New adapter q/k/v/o 1 epoch,normal,200,110,"{""100"": 14, ""No"": 14, ""1"": 12, ""United States"": 8, ""ASSIST"": 6, ""2"": 6, ""USA"": 6, ""50"": 5, ""3"": 5, ""2010"": 4}",1.635,0.065,0.85
New adapter q/k/v/o 1 epoch,short,200,91,"{""100"": 18, ""ASSIST"": 16, ""No"": 14, ""1"": 13, ""50"": 7, ""2"": 6, ""0.33"": 4, ""3"": 4, ""10000000000000000000000000000000000000000000000"": 4, ""ASSISTANT"": 4}",1.13,0.02,0.955
